site_id,test_samples,mape,rmse,avg_consumption
SITE_001,218,5.1611666091474575,1.947327856272927,28.42518348623853
SITE_002,218,1.163644597527087,0.3833722889393617,11.69454128440367
SITE_003,218,5.120101711304327,2.110556255213781,30.014633027522937
SITE_004,218,1.3040083162513492,0.2657799669382327,10.41178899082569
SITE_005,218,6.607213991590455,3.253354584893241,29.56825688073394
SITE_006,218,6.366236209728633,2.619449133208715,24.96105504587156
SITE_007,218,5.716615048200666,1.9421627970577617,29.630596330275225
SITE_008,218,9.823658656257555,3.6632168021357323,28.749220183486237
SITE_009,218,1.1920837617760522,0.35534709740340864,11.18073394495413
SITE_010,218,7.335005961844954,4.631316911017344,29.783669724770643
SITE_011,218,6.877577668043257,2.7240143407185595,29.402477064220186
SITE_012,218,1.3360769179405012,0.4071696893965742,11.092431192660548
SITE_013,218,3.2865578765145718,2.7366662569328515,26.373073394495417
SITE_014,218,4.473549009316876,2.9303185786663306,26.16633027522936
SITE_015,218,0.9808214815895007,0.3444527637021053,10.82848623853211
SITE_016,218,2.5256847823926933,2.1510087243221707,26.64802752293578
SITE_017,218,8.015713700388542,2.719493594926092,28.98426605504587
SITE_018,218,7.453149630274966,3.6565383188289196,29.282522935779816
SITE_019,218,1.0693749216468358,0.2560291339500109,11.192293577981651
SITE_020,218,7.279534073319393,3.8327694373172285,29.818302752293576
SITE_021,218,7.212956112255389,2.582221591696548,29.51366972477064
SITE_022,218,8.773914324750208,3.103185992291196,28.878715596330274
SITE_023,218,1.5458789539503066,0.47844213937940816,11.01169724770642
SITE_024,218,3.234306825227653,2.4251671653344875,28.677018348623854
SITE_025,218,6.764784550636647,3.62489284878017,29.89045871559633
SITE_026,218,2.8415303796007567,1.6804126568339415,30.849357798165137
SITE_027,218,0.7669850077250868,0.20810195102004364,11.157706422018348
SITE_028,218,3.703897900666861,3.5933272766937323,27.024587155963307
SITE_029,218,1.6473940957102169,0.5105753185998152,11.115275229357799
SITE_030,218,8.636436023898375,4.046547458053004,28.729449541284403
